mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.118200016022,0.024199962616,0.331247458356,0.906381129748,50,{'n_estimators': 50},2,-0.0795877993011,0.926009329096,0.544126374524,0.890615778968,0.430719577677,0.899485328257,0.765218280504,0.901805922775,0.0205054010639,0.913989289644,0.00376294557231,0.000399947177102,0.319419689671,0.0123302975545
0.23499994278,0.0488000869751,0.346648799383,0.914931000169,100,{'n_estimators': 100},1,-0.0732427585314,0.93200410898,0.541568824856,0.896330656605,0.446228401207,0.915091576476,0.745413862353,0.912308990724,0.101397108585,0.918919668062,0.00586518149858,0.00271300252513,0.29925897153,0.0114915100402
0.347600078583,0.0729999065399,0.330234667553,0.918022814151,150,{'n_estimators': 150},3,-0.0998115449329,0.933713572894,0.530182640552,0.904168906622,0.442148342551,0.917447343199,0.721352052878,0.908755306307,0.086064126653,0.926028941735,0.00595321555627,0.00260765653307,0.301788490006,0.0108484709626
0.470399951935,0.0978000640869,0.32461622471,0.917525079343,200,{'n_estimators': 200},5,-0.137324382523,0.932152874786,0.53067214175,0.900658808431,0.434012081448,0.920941004158,0.723682598784,0.909164413995,0.104024270366,0.924708295345,0.0115343759731,0.00213543951983,0.310977390378,0.0112393180712
0.583400058746,0.120399999619,0.326427570954,0.913209574919,250,{'n_estimators': 250},4,-0.14288158937,0.926073885731,0.549305510948,0.899087686199,0.430907047964,0.917046248723,0.715572552323,0.90490096402,0.110038235444,0.918939089922,0.00926497922794,0.00205915741183,0.312544242743,0.00981324265281
