mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_epsilon,param_gamma,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.00019998550415,0.000400018692017,-0.310282884754,-0.218671005673,0.001,0.001,0.001,"{'epsilon': 0.001, 'C': 0.001, 'gamma': 0.001}",495,-0.500372619368,-0.168143222908,-0.178538352626,-0.31197867537,-0.431062860092,-0.18626309553,-0.0141764899339,-0.215480104524,-0.419970951438,-0.211489930033,0.000399971008301,0.000489920847309,0.18230029728,0.0497421358464
0.00019998550415,0.0,-0.310256990852,-0.218636847762,0.001,0.001,0.0046415888336127772,"{'epsilon': 0.001, 'C': 0.001, 'gamma': 0.0046415888336127772}",491,-0.500341784775,-0.168129823843,-0.178451309942,-0.311928336691,-0.431127043654,-0.186230565802,-0.0142011946333,-0.215441325052,-0.419878732127,-0.211454187424,0.000399971008301,0.0,0.182296784445,0.0497317412869
0.00019998550415,0.000400018692017,-0.310309626937,-0.218656528705,0.001,0.001,0.021544346900318832,"{'epsilon': 0.001, 'C': 0.001, 'gamma': 0.021544346900318832}",503,-0.500358282174,-0.168082868209,-0.178567284209,-0.311953802622,-0.431115106369,-0.186286503717,-0.0141943657012,-0.21544873293,-0.42002480717,-0.211510736048,0.000399971008301,0.000489920847309,0.182299850233,0.0497418280332
0.0,0.0,-0.31034033688,-0.21867696703,0.001,0.001,0.10000000000000001,"{'epsilon': 0.001, 'C': 0.001, 'gamma': 0.10000000000000001}",516,-0.500428039519,-0.168097166118,-0.178631503668,-0.311988904399,-0.431024815346,-0.186291011948,-0.0141937027572,-0.215464984886,-0.420126264433,-0.211542767797,0.0,0.0,0.182305939879,0.0497503721201
0.0,0.0,-0.310352544124,-0.218685475187,0.001,0.001,0.46415888336127775,"{'epsilon': 0.001, 'C': 0.001, 'gamma': 0.46415888336127775}",517,-0.500463721094,-0.168119804567,-0.178626042264,-0.311993710049,-0.431025979768,-0.186298822452,-0.0142209854991,-0.215472820802,-0.420127907608,-0.211542218066,0.0,0.0,0.182306652062,0.0497464697927
0.000799989700317,0.0,-0.310356780378,-0.2186868989,0.001,0.001,2.154434690031882,"{'epsilon': 0.001, 'C': 0.001, 'gamma': 2.154434690031882}",522,-0.500467367128,-0.168124305596,-0.178637951243,-0.311999401559,-0.431034449673,-0.186302113037,-0.0142265761528,-0.215473401119,-0.420118587992,-0.211535273189,0.000399994860817,0.0,0.182303892244,0.0497474535381
0.000400018692017,0.000600004196167,-0.310356519224,-0.218686861768,0.001,0.001,10.0,"{'epsilon': 0.001, 'C': 0.001, 'gamma': 10.0}",521,-0.500467391596,-0.168124285271,-0.178636874167,-0.31199950829,-0.431034482759,-0.186302077898,-0.0142266009852,-0.215473353077,-0.420118343195,-0.211535084305,0.000489920847309,0.000489901382448,0.182304032886,0.049747508336
0.00019998550415,0.000600004196167,-0.31035651922,-0.218686861768,0.001,0.001,46.415888336127729,"{'epsilon': 0.001, 'C': 0.001, 'gamma': 46.415888336127729}",518,-0.500467391596,-0.168124285271,-0.178636874151,-0.31199950829,-0.431034482759,-0.186302077898,-0.0142266009852,-0.215473353077,-0.420118343195,-0.211535084305,0.000399971008301,0.000489901382448,0.182304032889,0.0497475083362
0.0,0.0,-0.31035651922,-0.218686861768,0.001,0.001,215.44346900318823,"{'epsilon': 0.001, 'C': 0.001, 'gamma': 215.44346900318823}",518,-0.500467391596,-0.168124285271,-0.178636874151,-0.31199950829,-0.431034482759,-0.186302077898,-0.0142266009852,-0.215473353077,-0.420118343195,-0.211535084305,0.0,0.0,0.182304032889,0.0497475083362
0.0,0.0,-0.31035651922,-0.218686861768,0.001,0.001,1000.0,"{'epsilon': 0.001, 'C': 0.001, 'gamma': 1000.0}",518,-0.500467391596,-0.168124285271,-0.178636874151,-0.31199950829,-0.431034482759,-0.186302077898,-0.0142266009852,-0.215473353077,-0.420118343195,-0.211535084305,0.0,0.0,0.182304032889,0.0497475083362
