mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_epsilon,param_gamma,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.000200033187866,0.000799942016602,-0.344721249958,-0.214151951203,0.001,0.001,0.001,"{'epsilon': 0.001, 'C': 0.001, 'gamma': 0.001}",616,-1.10905463121,-0.184161766496,-0.275549114823,-0.267177507827,-0.00172536356329,-0.253304690243,-0.124398882411,-0.167576004824,-0.12598310202,-0.198539786625,0.000400066375732,0.000399971008301,0.408632700555,0.0391334033081
0.0,0.00019998550415,-0.34470407417,-0.214135559951,0.001,0.001,0.0046415888336127772,"{'epsilon': 0.001, 'C': 0.001, 'gamma': 0.0046415888336127772}",611,-1.10902876849,-0.184149779529,-0.275527314662,-0.267162172413,-0.00170583588468,-0.253284511438,-0.124385652024,-0.167561164629,-0.125979307931,-0.198520171744,0.0,0.000399971008301,0.40862799293,0.0391321446069
0.000400018692017,0.00019998550415,-0.344644081928,-0.214076005339,0.001,0.001,0.021544346900318832,"{'epsilon': 0.001, 'C': 0.001, 'gamma': 0.021544346900318832}",605,-1.1089368088,-0.184108971776,-0.275451919237,-0.267106930547,-0.00163810477097,-0.253209925718,-0.124338668124,-0.167507380046,-0.125967338182,-0.198446818609,0.000489920847309,0.000399971008301,0.408610744485,0.0391271624135
0.0,0.000399971008301,-0.344570247619,-0.213986985315,0.001,0.001,0.10000000000000001,"{'epsilon': 0.001, 'C': 0.001, 'gamma': 0.10000000000000001}",592,-1.10881084452,-0.184054748519,-0.275379379821,-0.267020421675,-0.00154766078139,-0.253093185969,-0.124284790548,-0.167427847231,-0.12594734628,-0.198338723183,0.0,0.000489862441122,0.408584921541,0.0391162384391
0.000399971008301,0.0,-0.344635989909,-0.214030268322,0.001,0.001,0.46415888336127775,"{'epsilon': 0.001, 'C': 0.001, 'gamma': 0.46415888336127775}",604,-1.10891889718,-0.184062227956,-0.275452294859,-0.267056468334,-0.00163175103835,-0.253151075577,-0.124354581501,-0.167462796208,-0.125935023441,-0.198418773537,0.000489862441122,0.0,0.408606227666,0.0391217257286
0.000200033187866,0.000599956512451,-0.344697152211,-0.214092363886,0.001,0.001,2.154434690031882,"{'epsilon': 0.001, 'C': 0.001, 'gamma': 2.154434690031882}",609,-1.10899464306,-0.184091256083,-0.275514979619,-0.267116757011,-0.00171444592973,-0.253250320714,-0.124395875524,-0.167517983033,-0.125976402147,-0.198485502589,0.000400066375732,0.000489862441122,0.408612632204,0.0391350108982
0.0,0.000400018692017,-0.344705943248,-0.214100049708,0.001,0.001,10.0,"{'epsilon': 0.001, 'C': 0.001, 'gamma': 10.0}",612,-1.10899516343,-0.184094661562,-0.275524784735,-0.26712172579,-0.00173446467571,-0.253263379206,-0.124402305416,-0.167526241529,-0.125984490276,-0.198494240455,0.0,0.000489920847309,0.408607799455,0.0391357859777
0.000400018692017,0.00019998550415,-0.344710384847,-0.214101923899,0.001,0.001,46.415888336127729,"{'epsilon': 0.001, 'C': 0.001, 'gamma': 46.415888336127729}",613,-1.1090155981,-0.184102898974,-0.275528036035,-0.267121613303,-0.00173112473722,-0.253263820087,-0.124402555275,-0.167526416789,-0.125984252027,-0.198494870343,0.000489920847309,0.000399971008301,0.408616404645,0.039134488772
0.00019998550415,0.000400018692017,-0.344712502093,-0.214102712535,0.001,0.001,215.44346900318823,"{'epsilon': 0.001, 'C': 0.001, 'gamma': 215.44346900318823}",614,-1.10902430875,-0.184106415475,-0.275529071131,-0.267121611957,-0.00173110213503,-0.253264001643,-0.124402729513,-0.167526416814,-0.125984251969,-0.198495116786,0.000399971008301,0.000489920847309,0.408619844179,0.0391339659782
0.0,0.000600004196167,-0.344712512439,-0.214102716385,0.001,0.001,1000.0,"{'epsilon': 0.001, 'C': 0.001, 'gamma': 1000.0}",615,-1.10902435122,-0.184106432629,-0.275529076177,-0.267121611957,-0.00173110213503,-0.253264002529,-0.124402730375,-0.167526416814,-0.125984251969,-0.198495117996,0.0,0.000489901382448,0.408619860931,0.0391339634293
0.000400018692017,0.0,-0.344621071993,-0.214105294556,0.001,0.0046415888336127772,0.001,"{'epsilon': 0.0046415888336127772, 'C': 0.001, 'gamma': 0.001}",601,-1.10877927025,-0.18405056013,-0.275356978614,-0.267055430956,-0.00172536356329,-0.253304690243,-0.124398882411,-0.167576004824,-0.12598310202,-0.198539786625,0.000489920847309,0.0,0.408529305699,0.0391174039749
0.0,0.000399971008301,-0.344603897006,-0.214088903462,0.001,0.0046415888336127772,0.0046415888336127772,"{'epsilon': 0.0046415888336127772, 'C': 0.001, 'gamma': 0.0046415888336127772}",595,-1.1087534094,-0.184038573468,-0.275335180324,-0.26704009603,-0.00170583588468,-0.253284511438,-0.124385652024,-0.167561164629,-0.125979307931,-0.198520171744,0.0,0.000489862441122,0.408524599282,0.0391161416807
0.00019998550415,0.000399971008301,-0.344543907586,-0.214029349427,0.001,0.0046415888336127772,0.021544346900318832,"{'epsilon': 0.0046415888336127772, 'C': 0.001, 'gamma': 0.021544346900318832}",587,-1.10866145622,-0.18399776675,-0.275259791556,-0.26698485601,-0.00163810477097,-0.253209925718,-0.124338668124,-0.167507380046,-0.125967338182,-0.198446818609,0.000399971008301,0.000489862441122,0.40850735501,0.0391111444368
