mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.0,0.00019998550415,-0.972750905675,-0.860338759489,0.001,{'C': 0.001},10,-0.679294458033,-1.00600826858,-0.883718471869,-0.863393096252,-0.94808953491,-0.836123664335,-1.13851627011,-0.802118409771,-1.26194690363,-0.794050358508,0.0,0.000399971008301,0.203549249002,0.0769403235113
0.000399971008301,0.00019998550415,-0.964030580844,-0.852292520113,0.0046415888336127772,{'C': 0.0046415888336127772},9,-0.665317787681,-0.99579309755,-0.879734043873,-0.856363085779,-0.942173597633,-0.8290893024,-1.13109377163,-0.795274929866,-1.24970986967,-0.784942184971,0.000489862441122,0.000399971008301,0.20395033817,0.0760716080849
0.000200033187866,0.000400018692017,-0.92400075588,-0.815441804934,0.021544346900318832,{'C': 0.021544346900318832},8,-0.601749808656,-0.948873295357,-0.860808360144,-0.824125620255,-0.915100380531,-0.796980947673,-1.09701236133,-0.76404647069,-1.19351328661,-0.743182690693,0.000400066375732,0.000489920847309,0.206544383502,0.0722260818661
0.0,0.00019998550415,-0.715979731172,-0.627978721967,0.10000000000000001,{'C': 0.10000000000000001},7,-0.336869369192,-0.729783625262,-0.680658642492,-0.653856578028,-0.7365399894,-0.626137227088,-0.931167494819,-0.587718512245,-0.946467091289,-0.54239766721,0.0,0.000399971008301,0.223796973304,0.0632175518236
0.00019998550415,0.00019998550415,-0.0524810406868,-0.0150299957308,0.46415888336127775,{'C': 0.46415888336127775},6,0.379931207846,-0.0519255105968,-0.0111363404878,-0.103205312601,-0.0398735198476,-0.0455101429894,-0.373314423235,0.0749249918226,-0.277231746302,0.0505659957106,0.000399971008301,0.000399971008301,0.263992006605,0.0670222929751
0.000200033187866,0.00019998550415,0.627365622847,0.652961263449,2.154434690031882,{'C': 2.154434690031882},5,0.903208408449,0.660524562248,0.711106319808,0.505262982748,0.722021612112,0.591191900622,0.265055654472,0.802749303294,0.490488184073,0.705077568334,0.000400066375732,0.000399971008301,0.219285926748,0.100836507189
0.00019998550415,0.000399971008301,0.798003751707,0.845036310216,10.0,{'C': 10.0},2,0.856655504067,0.836721768109,0.942054871641,0.805574089568,0.935055613338,0.806314543309,0.475154548208,0.919682961316,0.755760362243,0.856888188776,0.000399971008301,0.000489862441122,0.170161784244,0.0420436992834
0.000999975204468,0.0,0.79846886512,0.883901079122,46.415888336127729,{'C': 46.415888336127729},1,0.75330330392,0.876212891199,0.937335265729,0.86533830118,0.946452197081,0.869649349681,0.605731429199,0.929259404859,0.737809524746,0.879045448692,9.53674316406e-08,0.0,0.128519497944,0.0231851314903
0.000600004196167,0.000400066375732,0.797143445033,0.890147612592,215.44346900318823,{'C': 215.44346900318823},3,0.676103996692,0.883058039119,0.935146376919,0.871209317756,0.934482821606,0.877457040946,0.710844356496,0.936219611741,0.727019238011,0.882794053396,0.000489901382448,0.000489979241895,0.114753830414,0.023437899268
0.00100002288818,0.00019998550415,0.758834831612,0.874254343703,1000.0,{'C': 1000.0},4,0.727702923693,0.890046809032,0.935610239803,0.82604597497,0.869828850426,0.873001099219,0.536638080955,0.900812343698,0.706188625647,0.881365491595,1.168007728e-07,0.000399971008301,0.138501349093,0.0258105218347
