mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.00019998550415,0.000400018692017,-1.43824996318,-0.871634349561,0.001,{'C': 0.001},8,-1.79493278347,-0.789885285638,-0.664001981259,-0.958453728587,-0.767402649626,-0.908377264673,-2.56529990426,-0.867319365707,-1.4518081425,-0.8341361032,0.000399971008301,0.000489920847309,0.695287457549,0.0583014466433
0.0,0.00019998550415,-1.42584155204,-0.862835283672,0.0046415888336127772,{'C': 0.0046415888336127772},7,-1.79484659609,-0.782304040267,-0.65354128542,-0.949457419502,-0.765175368412,-0.899831231498,-2.53204997179,-0.857301352233,-1.43400644129,-0.825282374859,0.0,0.000399971008301,0.687913687405,0.0579624379975
0.000400018692017,0.000200033187866,-1.36908647475,-0.822545450826,0.021544346900318832,{'C': 0.021544346900318832},6,-1.79348103112,-0.747868933107,-0.605930399979,-0.908136530759,-0.755184135633,-0.860788640945,-2.38052818079,-0.811294988255,-1.35265381604,-0.784638161062,0.000489920847309,0.000400066375732,0.65581546688,0.056441992131
0.0,0.000600004196167,-1.12591165706,-0.624019026864,0.10000000000000001,{'C': 0.10000000000000001},5,-1.661042071,-0.593785410578,-0.403463325917,-0.699691227477,-0.67812981264,-0.669239626724,-1.87331419049,-0.582915879002,-1.03702362488,-0.574462990537,0.0,0.000489901382448,0.565071150921,0.0506567382523
0.0,0.00019998550415,-0.351690499005,0.124395590616,0.46415888336127775,{'C': 0.46415888336127775},3,-0.687126923813,0.0129348128331,0.209520101773,0.119399868774,-0.113549862613,0.0900582941532,-1.04103883123,0.199042935482,-0.154478751136,0.200542041839,0.0,0.000399971008301,0.447578428253,0.0707078783142
0.000399971008301,0.00019998550415,0.213129166673,0.603678916638,2.154434690031882,{'C': 2.154434690031882},2,0.134342435981,0.362741256707,0.425121744698,0.676549932121,0.608470828222,0.658696004854,-0.540681023316,0.664798861848,0.421741116863,0.655608527662,0.000489862441122,0.000399971008301,0.396553126202,0.120681691296
0.000400018692017,0.00019998550415,0.255926925607,0.646703793841,10.0,{'C': 10.0},1,0.377104776704,0.460769690657,0.354906282733,0.729057678278,0.458644494619,0.689575386696,-0.377942409855,0.680683618492,0.439401832809,0.673432595084,0.000489920847309,0.000399971008301,0.309865991503,0.0949322745769
0.000600004196167,0.000400018692017,-0.411720546578,0.676118372703,46.415888336127729,{'C': 46.415888336127729},4,0.407847086692,0.500475409658,0.214054361064,0.756399752746,-2.92245588185,0.718288026298,-0.353086682986,0.709395762545,0.414370566569,0.696032912271,0.000489901382448,0.000489920847309,1.24868329806,0.0900864070703
0.000799942016602,0.00019998550415,-2.57828986525,0.689042909657,215.44346900318823,{'C': 215.44346900318823},9,0.455726932378,0.523717233568,0.14375727818,0.759726681335,-14.5021869882,0.733676141995,-0.119939364556,0.725942299491,0.411684823295,0.702152191894,0.000399971008301,0.000399971008301,5.78757958821,0.0846809523243
0.000999975204468,0.00019998550415,-8.61091414668,0.716272092488,1000.0,{'C': 1000.0},10,0.540836396648,0.571867666824,0.0953038055117,0.779919612133,-46.3762599439,0.759192554984,0.00812329357984,0.744844361322,0.445179652755,0.72553626718,9.53674316406e-08,0.000399971008301,18.3200064964,0.0743612943515
